Date,Ticker,Price,EMA20,MA30,MA50,MA100,MA200,AboveEMA20,Pct_Above_EMA20,Above30,Pct_Above_30,Above50,Pct_Above_50,Above100,Pct_Above_100,Above200,Pct_Above_200
2026-04-15,XBI,136.316177,128.541479,125.809834,125.68782,124.354485,110.240956,Yes,0.060484,Yes,0.08351,Yes,0.084562,Yes,0.09619,Yes,0.236529
2026-04-16,XBI,135.327164,129.187735,126.110872,125.843867,124.567651,110.504831,Yes,0.047523,Yes,0.073081,Yes,0.075358,Yes,0.086375,Yes,0.224627
2026-04-17,XBI,138.534012,130.077856,126.602723,126.111205,124.819557,110.783994,Yes,0.065008,Yes,0.094242,Yes,0.098507,Yes,0.109874,Yes,0.250488
2026-04-20,XBI,137.654861,130.799476,127.061938,126.45227,125.034593,111.05025,Yes,0.052411,Yes,0.083368,Yes,0.088591,Yes,0.100934,Yes,0.239573
2026-04-21,XBI,136.256241,131.319168,127.370635,126.669656,125.206467,111.307273,Yes,0.037596,Yes,0.069762,Yes,0.075682,Yes,0.088252,Yes,0.224145
2026-04-22,XBI,137.175339,131.876898,127.699645,126.893437,125.369709,111.577154,Yes,0.040177,Yes,0.074203,Yes,0.081028,Yes,0.094167,Yes,0.229421
2026-04-23,XBI,134.358109,132.113204,127.969714,127.076257,125.490041,111.827324,Yes,0.016992,Yes,0.049921,Yes,0.057303,Yes,0.070667,Yes,0.201478
2026-04-24,XBI,133.149292,132.211879,128.324698,127.248688,125.595199,112.055722,Yes,0.00709,Yes,0.037597,Yes,0.046371,Yes,0.060146,Yes,0.188242
2026-04-27,XBI,132.909531,132.278322,128.697998,127.445694,125.730918,112.280383,Yes,0.004772,Yes,0.032724,Yes,0.042872,Yes,0.057095,Yes,0.183729
2026-04-28,XBI,131.031372,132.159565,128.939428,127.611531,125.861696,112.502422,No,-0.008537,Yes,0.016224,Yes,0.026799,Yes,0.041074,Yes,0.164698
2026-04-29,XBI,128.77359,131.837091,129.096274,127.696848,125.93634,112.706951,No,-0.023237,No,-0.0025,Yes,0.008432,Yes,0.022529,Yes,0.142552
2026-04-30,XBI,131.201202,131.77653,129.436606,127.811335,126.02112,112.935364,No,-0.004366,Yes,0.013633,Yes,0.026522,Yes,0.041105,Yes,0.161737
2026-05-01,XBI,130.292099,131.635156,129.706008,127.884863,126.095217,113.149725,No,-0.010203,Yes,0.004519,Yes,0.018823,Yes,0.033283,Yes,0.151502
2026-05-04,XBI,133.36908,131.800291,130.145244,128.059092,126.197594,113.377978,Yes,0.011903,Yes,0.024771,Yes,0.041465,Yes,0.056827,Yes,0.176323
2026-05-05,XBI,133.658783,131.977291,130.547848,128.195358,126.327462,113.616887,Yes,0.012741,Yes,0.02383,Yes,0.042618,Yes,0.058034,Yes,0.176399
2026-05-06,XBI,137.544968,132.507546,131.151921,128.365591,126.487629,113.877218,Yes,0.038016,Yes,0.048745,Yes,0.07151,Yes,0.087418,Yes,0.207836
2026-05-07,XBI,133.528931,132.60482,131.47627,128.473085,126.597978,114.113188,Yes,0.006969,Yes,0.015612,Yes,0.039353,Yes,0.054748,Yes,0.170145
2026-05-08,XBI,134.577896,132.792732,131.83625,128.613747,126.71772,114.346987,Yes,0.013443,Yes,0.020796,Yes,0.046373,Yes,0.062029,Yes,0.176926
2026-05-11,XBI,134.617859,132.966554,132.341088,128.761203,126.84075,114.58462,Yes,0.012419,Yes,0.017204,Yes,0.045485,Yes,0.061314,Yes,0.174834
2026-05-12,XBI,134.777695,133.139044,132.878227,128.928239,126.973643,114.822454,Yes,0.012308,Yes,0.014295,Yes,0.04537,Yes,0.061462,Yes,0.173792
2026-05-13,XBI,135.716782,133.384542,133.148629,129.174996,127.12658,115.07016,Yes,0.017485,Yes,0.019288,Yes,0.050643,Yes,0.067572,Yes,0.179426
2026-05-14,XBI,134.717758,133.511515,133.358423,129.343431,127.278788,115.316504,Yes,0.009035,Yes,0.010193,Yes,0.041551,Yes,0.058446,Yes,0.168244
2026-05-15,XBI,130.561844,133.230594,133.416033,129.479098,127.355383,115.540078,No,-0.020031,No,-0.021393,Yes,0.008362,Yes,0.025177,Yes,0.130013
2026-05-18,XBI,127.544792,132.689089,133.378403,129.552426,127.372966,115.751453,No,-0.03877,No,-0.043737,No,-0.015497,Yes,0.001349,Yes,0.101885
2026-05-19,XBI,126.665665,132.11543,133.309804,129.545833,127.391947,115.957089,No,-0.04125,No,-0.04984,No,-0.022233,No,-0.005701,Yes,0.092349
2026-05-20,XBI,131.580841,132.064517,133.345103,129.631349,127.445994,116.182871,No,-0.003662,No,-0.013231,Yes,0.015039,Yes,0.032444,Yes,0.132532
2026-05-21,XBI,132.64978,132.120256,133.377071,129.759223,127.523917,116.413849,Yes,0.004008,No,-0.005453,Yes,0.022276,Yes,0.040195,Yes,0.139467
2026-05-22,XBI,131.530884,132.064125,133.450998,129.939846,127.606536,116.642815,No,-0.004038,No,-0.014388,Yes,0.012244,Yes,0.030753,Yes,0.127638
2026-05-26,XBI,133.219238,132.174136,133.494289,130.17002,127.723222,116.884255,Yes,0.007907,No,-0.00206,Yes,0.023425,Yes,0.043031,Yes,0.139753
2026-05-27,XBI,134.318146,132.378327,133.451998,130.380613,127.848299,117.130642,Yes,0.014654,Yes,0.00649,Yes,0.0302,Yes,0.050606,Yes,0.146738
2026-05-28,XBI,135.856644,132.709596,133.43668,130.616382,127.992857,117.386065,Yes,0.023714,Yes,0.018136,Yes,0.040119,Yes,0.061439,Yes,0.157349
2026-05-29,XBI,136.555954,133.075916,133.47764,130.927676,128.158095,117.636225,Yes,0.026151,Yes,0.023062,Yes,0.042988,Yes,0.065527,Yes,0.160833
2026-06-01,XBI,133.488953,133.115252,133.309471,131.153255,128.273282,117.858109,Yes,0.002807,Yes,0.001346,Yes,0.017809,Yes,0.040661,Yes,0.132624
2026-06-02,XBI,127.634712,132.593296,132.975466,131.302109,128.286569,118.050473,No,-0.037397,No,-0.040163,No,-0.027931,No,-0.005081,Yes,0.081188
2026-06-03,XBI,129.702682,132.318,132.757014,131.464549,128.347709,118.247652,No,-0.019765,No,-0.023007,No,-0.013402,Yes,0.010557,Yes,0.096873
2026-06-04,XBI,133.289154,132.410491,132.627474,131.741877,128.436821,118.465103,Yes,0.006636,Yes,0.004989,Yes,0.011745,Yes,0.03778,Yes,0.125134
2026-06-05,XBI,128.543808,132.042235,132.433664,131.836784,128.484175,118.665844,No,-0.026495,No,-0.029372,No,-0.024978,Yes,0.000464,Yes,0.083242
2026-06-08,XBI,128.304047,131.686217,132.272156,131.927295,128.52993,118.863297,No,-0.025684,No,-0.03,No,-0.027464,No,-0.001757,Yes,0.079425
2026-06-09,XBI,131.25116,131.644783,132.216877,132.162864,128.575485,119.072001,No,-0.00299,No,-0.007304,No,-0.006898,Yes,0.02081,Yes,0.102284
2026-06-10,XBI,128.723648,131.36658,132.139953,132.364066,128.620441,119.263091,No,-0.020119,No,-0.025854,No,-0.027503,Yes,0.000802,Yes,0.079325
2026-06-11,XBI,132.609833,131.484985,132.267828,132.464168,128.705957,119.484213,Yes,0.008555,Yes,0.002586,Yes,0.0011,Yes,0.030332,Yes,0.109852
2026-06-12,XBI,133.658783,131.692013,132.349747,132.568865,128.790874,119.705054,Yes,0.014935,Yes,0.009891,Yes,0.008222,Yes,0.037797,Yes,0.116568
2026-06-15,XBI,136.266235,132.127653,132.548885,132.717519,128.872993,119.936992,Yes,0.031323,Yes,0.028045,Yes,0.026739,Yes,0.057368,Yes,0.136149
2026-06-16,XBI,135.207275,132.420951,132.610158,132.848191,128.910656,120.163636,Yes,0.021041,Yes,0.019585,Yes,0.017758,Yes,0.048845,Yes,0.125193
2026-06-17,XBI,139.253296,133.07165,132.796642,133.058784,129.024045,120.412699,Yes,0.046454,Yes,0.048621,Yes,0.046555,Yes,0.079282,Yes,0.156467
2026-06-18,XBI,140.582001,133.786922,132.897876,133.259986,129.152519,120.653325,Yes,0.05079,Yes,0.05782,Yes,0.054945,Yes,0.088496,Yes,0.165173
2026-06-22,XBI,145.860001,134.936739,133.308912,133.543372,129.327079,120.916508,Yes,0.080951,Yes,0.09415,Yes,0.092229,Yes,0.127838,Yes,0.206287
2026-06-23,XBI,147.029999,136.088478,133.723982,133.89771,129.539214,121.186437,Yes,0.0804,Yes,0.099504,Yes,0.098077,Yes,0.135023,Yes,0.213255
2026-06-24,XBI,149.710007,137.385766,134.227054,134.2535,129.770157,121.459812,Yes,0.089705,Yes,0.115349,Yes,0.115129,Yes,0.153655,Yes,0.232589
2026-06-25,XBI,151.589996,138.73855,134.787464,134.573562,130.039781,121.747763,Yes,0.092631,Yes,0.124659,Yes,0.126447,Yes,0.16572,Yes,0.245115
2026-06-26,XBI,155.380005,140.323451,135.442905,134.954839,130.32133,122.051927,Yes,0.107299,Yes,0.147199,Yes,0.151348,Yes,0.192284,Yes,0.273065
2026-06-29,XBI,158.309998,142.036455,136.229313,135.414496,130.629181,122.376116,Yes,0.114573,Yes,0.162085,Yes,0.169077,Yes,0.211904,Yes,0.293635
2026-06-30,XBI,158.25,143.580602,137.152251,135.808815,130.96001,122.691046,Yes,0.102168,Yes,0.153827,Yes,0.165241,Yes,0.208384,Yes,0.289825
2026-07-01,XBI,156.550003,144.815783,138.119092,136.186718,131.319494,123.00534,Yes,0.081029,Yes,0.133442,Yes,0.149525,Yes,0.192131,Yes,0.272709
2026-07-02,XBI,160.460007,146.305709,139.24557,136.670793,131.670225,123.342618,Yes,0.096745,Yes,0.152353,Yes,0.174062,Yes,0.218651,Yes,0.300929
2026-07-06,XBI,160.809998,147.68707,140.219875,137.143487,132.018462,123.680104,Yes,0.088856,Yes,0.146842,Yes,0.172568,Yes,0.218087,Yes,0.300209
2026-07-07,XBI,163.869995,149.228301,141.260549,137.733724,132.404991,124.03274,Yes,0.098116,Yes,0.160055,Yes,0.189759,Yes,0.237642,Yes,0.321183
2026-07-08,XBI,162.970001,150.537034,142.308519,138.330139,132.789413,124.366392,Yes,0.082591,Yes,0.145188,Yes,0.178124,Yes,0.227282,Yes,0.310402
2026-07-09,XBI,164.279999,151.845888,143.343878,138.957548,133.201621,124.71197,Yes,0.081886,Yes,0.146055,Yes,0.182232,Yes,0.233318,Yes,0.317275
2026-07-10,XBI,159.029999,152.530089,144.167606,139.51752,133.564526,125.0227,Yes,0.042614,Yes,0.103091,Yes,0.139857,Yes,0.19066,Yes,0.272009
2026-07-13,XBI,155.339996,152.797699,144.817051,140.048849,133.872848,125.317618,Yes,0.016638,Yes,0.072664,Yes,0.109184,Yes,0.160355,Yes,0.23957
2026-07-14,XBI,155.449997,153.050299,145.446853,140.533824,134.17258,125.609751,Yes,0.015679,Yes,0.068775,Yes,0.106139,Yes,0.158582,Yes,0.237563
2026-07-15,XBI,156.220001,153.352176,146.204554,141.052383,134.468623,125.9136,Yes,0.018701,Yes,0.068503,Yes,0.107532,Yes,0.161758,Yes,0.240692
